date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:14:03	3750/3750	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:56%20GMT	https://marketpresso.com/special/images/iconf3.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/iconf3.png	(from https://marketpresso.com/special/)
15:14:04	3990/3990	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:57%20GMT	https://marketpresso.com/special/images/iconf5.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/iconf5.png	(from https://marketpresso.com/special/)
15:14:04	4159/4159	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:57%20GMT	https://marketpresso.com/special/images/iconf6.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/iconf6.png	(from https://marketpresso.com/special/)
15:14:04	36879/36879	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:30:13%20GMT	https://marketpresso.com/special/images/saurabh.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/saurabh.png	(from https://marketpresso.com/special/)
15:14:05	3889/3889	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:58%20GMT	https://marketpresso.com/special/images/iconf7.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/iconf7.png	(from https://marketpresso.com/special/)
15:14:05	19984/19984	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:27%20GMT	https://marketpresso.com/special/images/feat5.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/feat5.png	(from https://marketpresso.com/special/)
15:14:05	328751/328751	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:26%20GMT	https://marketpresso.com/special/images/feat4.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/feat4.png	(from https://marketpresso.com/special/)
15:14:05	12986/12986	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:27%20GMT	https://marketpresso.com/special/images/feat6.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/feat6.png	(from https://marketpresso.com/special/)
15:14:05	17886/17886	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:28%20GMT	https://marketpresso.com/special/images/feat7.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/feat7.png	(from https://marketpresso.com/special/)
15:14:06	238425/238425	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:29%20GMT	https://marketpresso.com/special/images/feat8.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/feat8.png	(from https://marketpresso.com/special/)
15:14:06	18468/18468	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:29%20GMT	https://marketpresso.com/special/images/feat9.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/feat9.png	(from https://marketpresso.com/special/)
15:14:06	15733/15733	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:13%20GMT	https://marketpresso.com/special/images/feat10.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/feat10.png	(from https://marketpresso.com/special/)
15:14:06	117487/117487	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:15%20GMT	https://marketpresso.com/special/images/feat11.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/feat11.png	(from https://marketpresso.com/special/)
15:14:07	100515/100515	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:16%20GMT	https://marketpresso.com/special/images/feat12.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/feat12.png	(from https://marketpresso.com/special/)
15:14:07	25253/25253	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:17%20GMT	https://marketpresso.com/special/images/feat13.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/feat13.png	(from https://marketpresso.com/special/)
15:14:07	31145/31145	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:18%20GMT	https://marketpresso.com/special/images/feat14.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/feat14.png	(from https://marketpresso.com/special/)
